Player,Country,StartYear,EndYear,Matches,Innings,NO,Runs,Highest,Average,100s,50s,0s
M Azharuddin,INDIA,1984,2000,99,147,9,6215,199,45.03,22,21,5
HH Gibbs,SA,1996,2008,90,154,7,6167,228,41.95,14,26,11
RN Harvey,AUS,1948,1963,79,137,10,6149,205,48.41,21,24,7
GR Viswanath,INDIA,1969,1983,91,155,10,6080,222,41.93,14,35,10
LRPL Taylor,NZ,2007,2017,81,146,18,6030,290,47.10,16,27,12
RB Richardson,WI,1983,1995,86,146,12,5949,194,44.39,16,27,8
RR Sarwan,WI,2000,2011,87,154,8,5842,291,40.01,15,31,12
ME Trescothick,ENG,2000,2006,76,143,10,5825,219,43.79,14,29,12
DCS Compton,ENG,1937,1957,78,131,15,5807,278,50.06,17,28,10
Saleem Malik,PAK,1982,1999,103,154,22,5768,237,43.69,15,29,12
N Hussain,ENG,1990,2004,96,171,16,5764,207,37.18,14,33,14
CL Hooper,WI,1987,2002,102,173,15,5762,233,36.46,13,27,13
MP Vaughan,ENG,1999,2008,82,147,9,5719,197,41.44,18,18,9
AC Gilchrist,AUS,1999,2008,96,137,20,5570,204*,47.60,17,26,14
MV Boucher,SA,1997,2012,147,206,24,5515,125,30.30,5,35,17
MS Atapattu,SL,1990,2007,90,156,15,5502,249,39.02,16,17,22
TM Dilshan,SL,1999,2013,87,145,11,5492,193,40.98,16,23,14
TT Samaraweera,SL,2001,2013,81,132,20,5462,231,48.76,14,30,11
MD Crowe,NZ,1982,1995,77,131,11,5444,299,45.36,17,18,9
JB Hobbs,ENG,1908,1930,61,102,7,5410,211,56.94,15,28,4
DA Warner,AUS,2011,2017,62,115,4,5359,253,48.27,18,23,6
KD Walters,AUS,1965,1981,74,125,14,5357,250,48.26,15,33,4
IM Chappell,AUS,1964,1980,75,136,10,5345,196,42.42,14,26,11
JG Wright,NZ,1978,1993,82,148,7,5334,185,37.82,12,23,7
MJ Slater,AUS,1993,2001,74,131,7,5312,219,42.83,14,21,9
N Kapil Dev,INDIA,1978,1994,131,184,15,5248,163,31.05,8,27,16
WM Lawry,AUS,1961,1971,67,123,12,5234,210,47.15,13,27,6
IT Botham,ENG,1977,1992,102,161,6,5200,208,33.54,14,22,14
JH Edrich,ENG,1963,1976,77,127,9,5138,310*,43.54,12,24,6
A Ranatunga,SL,1982,2000,93,155,12,5105,135*,35.69,4,38,12
Zaheer Abbas,PAK,1969,1985,78,124,11,5062,274,44.79,12,20,10
Misbah-ul-Haq,PAK,2001,2017,72,126,18,4951,161*,45.84,10,36,8
KS Williamson,NZ,2010,2017,59,107,10,4937,242*,50.89,16,25,6
SPD Smith,AUS,2010,2017,52,96,13,4924,215,59.32,18,20,4
TW Graveney,ENG,1951,1969,79,123,13,4882,258,44.38,11,20,8
MS Dhoni,INDIA,2005,2014,90,144,16,4876,224,38.09,6,33,10
RB Simpson,AUS,1957,1978,62,111,7,4869,311,46.81,10,27,8
A Flower,ZIM,1992,2002,63,112,19,4794,232*,51.54,12,27,5
IR Redpath,AUS,1964,1976,66,120,11,4737,171,43.45,8,31,9
Azhar Ali,PAK,2010,2017,57,108,8,4707,302*,47.07,12,25,10
NJ Astle,NZ,1996,2006,81,137,10,4702,222,37.02,11,24,11
AJ Lamb,ENG,1982,1992,79,139,10,4656,142,36.09,14,18,9
JE Root,ENG,2012,2016,53,98,11,4594,254,52.80,11,27,3
